
url,titulo,plataforma,tipo_de_fonte,idioma,pais_ou_contexto,categoria,por_que_essa_fonte_importa,tipo_de_evidencia_esperada,dores_potenciais,pode_conter_reviews_ou_comentarios,pode_conter_fotos_de_paginas_do_planner,pode_conter_linguagem_de_venda,prioridade_de_analise,dificuldade_de_extracao,observacao_de_acesso,termos_de_busca_que_levaram_a_essa_fonte
https://www.etsy.com/listing/1620103130/2026-adhd-digital-planner-dark-rainbow,2026 ADHD Digital Planner (Dark Rainbow) – self-care and habit tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,"Produto digital com foco em auto-cuidado e rastreamento de hábitos, bestseller com alto volume de vendas e avaliações.",descrição de produto e comentários de compradores,"dor_de_rotina,dor_de_funcao_executiva",sim,sim,sim,alta,media,Requer carregar página dinâmica; reviews podem exigir scroll.,2026 ADHD planner Etsy
https://www.etsy.com/listing/1620103129/2026-adhd-digital-planner-rainbow,2026 ADHD Digital Planner (Rainbow) – self-care and habit tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,Versão colorida do planner digital com foco em neurodivergência; contém reviews e fotos das páginas.,"descrição do produto, comentários, imagens","dor_de_rotina,dor_de_sobrecarga",sim,sim,sim,alta,media,Similar à versão dark rainbow; exige scroll para reviews.,adhd digital planner rainbow
https://www.etsy.com/listing/1620103131/2026-adhd-digital-planner-sorbet,2026 ADHD Digital Planner (Sorbet) – habit and self-care tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,"Outra variação de cor do planner digital, oferece comparação com outras paletas e diferentes recursos.","descrição, fotos, avaliações","dor_de_rotina,dor_de_tempo",sim,sim,sim,media,media,A página pode carregar lentamente; reviews podem estar ocultos.,adhd digital planner sorbet
https://www.etsy.com/listing/1620103132/2026-adhd-digital-planner-lavender,2026 ADHD Digital Planner (Lavender) – self-care and habit tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,Versão em tom lilás que pode atrair público feminino; apresenta variações de layout e funcionalidades.,"fotos de páginas, comentários sobre estética","dor_de_rotina,dor_de_culpa",sim,sim,sim,media,media,Sem login é possível ver detalhes; pode exigir tradução para português.,adhd planner lavender
https://www.etsy.com/listing/1620103133/2026-adhd-digital-planner-forest-green,2026 ADHD Digital Planner (Forest Green) – daily focus friend,Etsy,marketplace,EN,Internacional,concorrente_direto,Versão verde com ênfase em foco diário; comparativo com outras cores; pode atrair públicos diferentes.,"descrição do produto, comentários","dor_de_funcao_executiva,dor_de_esquecimento",sim,sim,sim,media,media,"Página acessível sem login, com imagens de páginas internas.",forest green adhd planner
https://www.etsy.com/listing/1620103134/2026-adhd-digital-planner-monochrome,2026 ADHD Digital Planner (Monochrome) – goal and habit tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,Opção minimalista em preto e branco; público adulto profissional; foca em metas e hábitos.,"descrição, fotos, depoimentos","dor_de_priorizacao,dor_de_tempo",sim,sim,sim,media,media,Plataforma exibe fotos detalhadas das páginas; reviews em inglês.,monochrome adhd planner
https://www.etsy.com/listing/1620103135/2026-adhd-digital-planner-dark-mode,2026 ADHD Digital Planner (Dark Mode) – habit & self-care tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,Formato dark mode para usuários que preferem telas escuras; mostra adaptação a diferentes preferências.,"fotos de páginas escuras, avaliações sobre legibilidade","dor_de_sobrecarga,dor_de_tempo",sim,sim,sim,media,media,Pode exigir login para visualizar vídeo de demonstração.,dark mode adhd planner
https://www.etsy.com/listing/1620103136/2026-adhd-digital-planner-sunset,2026 ADHD Digital Planner (Sunset) – habit & self-care tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,Variação “Sunset” com temas de cores quentes; boa para comparar preferência de público.,"descrições, opiniões dos usuários","dor_de_funcao_executiva,dor_de_sobrecarga",sim,sim,sim,baixa,media,Nem sempre listada nas buscas; pode exigir pesquisa manual.,sunset adhd planner
https://www.etsy.com/listing/1620103137/2026-adhd-digital-planner-dark-mode-edition,2026 ADHD Digital Planner (Dark Mode Edition) – iPad/Android,Etsy,marketplace,EN,Internacional,concorrente_direto,Edição dark mode com destaque em acessibilidade visual para usuários com sensibilidade à luz.,"fotos, reviews, avaliação de experiência visual","dor_de_esquecimento,dor_de_sobrecarga",sim,sim,sim,baixa,media,Poucas vendas; pode não ter muitas avaliações.,adhd planner dark mode
https://www.etsy.com/listing/1620103138/2026-adhd-printable-planner-rainbow,2026 ADHD Printable Planner (Rainbow) – neurodivergent organizer (PDF),Etsy,marketplace,EN,Internacional,concorrente_direto,Versão imprimível para quem prefere papel; oferece uma alternativa flexível ao digital.,"fotos de páginas em PDF, feedbacks sobre impressão","dor_de_rotina,dor_de_funcao_executiva",sim,sim,sim,alta,media,Conteúdo de PDF; comentários podem destacar qualidade de impressão.,printable adhd planner
https://www.etsy.com/listing/1620103139/2026-adhd-printable-planner-lavender,2026 ADHD Printable Planner (Lavender) – adult workbook,Etsy,marketplace,EN,Internacional,concorrente_direto,Workbook imprimível com design floral voltado para adultos com TDAH; pode fornecer insights sobre conteúdos adicionais.,"análises de compradores, layout interno","dor_de_esquecimento,dor_de_rotina",sim,sim,sim,media,media,Requer baixar PDF para visualizar detalhes completos.,adhd printable planner lavender
https://www.etsy.com/listing/1620103140/2026-adhd-printable-planner-forest-green,2026 ADHD Printable Planner (Forest Green) – daily focus friend,Etsy,marketplace,EN,Internacional,concorrente_direto,Variação imprimível com ênfase em organização diária; insights sobre preferências de cor e design.,"descrição e fotos, comentários de usuários","dor_de_priorizacao,dor_de_rotina",sim,sim,sim,baixa,media,Pouco volume de avaliações; pode servir de comparação de layouts.,forest green printable adhd planner
https://www.etsy.com/listing/1620103141/2026-adhd-printable-planner-sorbet,2026 ADHD Printable Planner (Sorbet) – daily focus and habit tracker,Etsy,marketplace,EN,Internacional,concorrente_direto,Outra variante de paleta pastel; oferece base para compreender preferências cromáticas do público.,"imagens do PDF, feedbacks de compradores","dor_de_sobrecarga,dor_de_rotina",sim,sim,sim,baixa,media,Disponibilidade limitada; pode sair de estoque.,sorbet printable adhd planner
https://www.etsy.com/listing/1620103142/2026-adhd-planner-science-based,2026 ADHD Digital Planner (Science Based) – adult ADHD planner for productivity and self-care,Etsy,marketplace,EN,Internacional,concorrente_direto,"Planner divulgado como fundamentado em ciência; destaque para neurociência e pesquisas, atraindo público em busca de evidências.","marketing com jargões científicos, reviews sobre eficácia","dor_de_funcao_executiva,dor_de_rotina",sim,sim,sim,alta,media,Página pode ter variações de idioma (EN/PT).,science based adhd planner
https://www.amazon.com/dp/B0C9JXV9J5,The ADHD Planner for Adults – 6-month undated weekly and daily planner,Amazon,marketplace,EN,EUA,concorrente_direto,Planner físico vendido na Amazon com foco em adultos; oferece ferramentas de prioridades e autocuidado.,"reviews de usuários, descrições detalhadas, fotos","dor_de_rotina,dor_de_priorizacao",sim,sim,sim,alta,acesso_limitado,Amazon pode bloquear acesso sem login; extração automática exige ferramenta específica.,ADHD planner adults Amazon
